state	nickname	admission_date	capital_city	population	state_flag_url
Alabama	Yellowhammer State	1819-12-14	Montgomery	4833722	https://cdn.civil.services/us-states/flags/alabama-large.png

Puerto Rico
Douglas Commonwealth    The Nation's Capital    2023-01-01  Washington
Alaska	The Last Frontier	1959-01-03	Juneau	735132	https://cdn.civil.services/us-states/flags/alaska-large.png
Arizona	The Grand Canyon State	1912-02-14	Phoenix	6626624	https://cdn.civil.services/us-states/flags/arizona-large.png
Arkansas	The Natural State	1836-06-15	Little Rock	2959373	https://cdn.civil.services/us-states/flags/arkansas-large.png
California	Golden State	1850-09-09	Sacramento	38332521	https://cdn.civil.services/us-states/flags/california-large.png
Colorado	The Centennial State	1876-08-01	Denver	5268367	https://cdn.civil.services/us-states/flags/colorado-large.png
Connecticut	Constitution State	1788-01-09	Hartford	3596080	https://cdn.civil.services/us-states/flags/connecticut-large.png
Delaware	The First State # The Diamond State	1787-12-07	Dover	925749	https://cdn.civil.services/us-states/flags/delaware-large.png
Florida	Sunshine State	1845-03-03	Tallahassee	19552860	https://cdn.civil.services/us-states/flags/florida-large.png
Georgia	Peach State	1788-01-02	Atlanta	9992167	https://cdn.civil.services/us-states/flags/georgia-large.png
Hawaii	Aloha State	1959-08-21	Honolulu	1404054	https://cdn.civil.services/us-states/flags/hawaii-large.png
Idaho	Gem State	1890-07-03	Boise	1612136	https://cdn.civil.services/us-states/flags/idaho-large.png
Illinois	Prairie State	1818-12-03	Springfield	12882135	https://cdn.civil.services/us-states/flags/illinois-large.png
Indiana	Hoosier State	1816-12-11	Indianapolis	6570902	https://cdn.civil.services/us-states/flags/indiana-large.png
Iowa	Hawkeye State	1846-12-28	Des Moines	3090416	https://cdn.civil.services/us-states/flags/iowa-large.png
Kansas	Sunflower State	1861-01-29	Topeka	2893957	https://cdn.civil.services/us-states/flags/kansas-large.png
Kentucky	Bluegrass State	1792-06-01	Frankfort	4395295	https://cdn.civil.services/us-states/flags/kentucky-large.png
Louisiana	Pelican State	1812-04-30	Baton Rouge	4625470	https://cdn.civil.services/us-states/flags/louisiana-large.png
Maine	Pine Tree State	1820-03-15	Augusta	1328302	https://cdn.civil.services/us-states/flags/maine-large.png
Maryland	Old Line State	1788-04-28	Annapolis	5928814	https://cdn.civil.services/us-states/flags/maryland-large.png
Massachusetts	Bay State	1788-02-06	Boston	6692824	https://cdn.civil.services/us-states/flags/massachusetts-large.png
Michigan	Wolverine State # Great Lakes State	1837-01-26	Lansing	9895622	https://cdn.civil.services/us-states/flags/michigan-large.png
Minnesota	North Star State # Land of 10,000 Lakes	1858-05-11	Saint Paul	5420380	https://cdn.civil.services/us-states/flags/minnesota-large.png
Mississippi	Magnolia State	1817-12-10	Jackson	2991207	https://cdn.civil.services/us-states/flags/mississippi-large.png
Missouri	Show Me State	1821-08-10	Jefferson City	6044171	https://cdn.civil.services/us-states/flags/missouri-large.png
Montana	Treasure State	1889-11-08	Helena	1015165	https://cdn.civil.services/us-states/flags/montana-large.png
Nebraska	Cornhusker State	1867-03-01	Lincoln	1868516	https://cdn.civil.services/us-states/flags/nebraska-large.png
Nevada	The Silver State	1864-10-31	Carson City	2790136	https://cdn.civil.services/us-states/flags/nevada-large.png
New Hampshire	Granite State	1788-06-21	Concord	1323459	https://cdn.civil.services/us-states/flags/new-hampshire-large.png
New Jersey	Garden State	1787-12-18	Trenton	8899339	https://cdn.civil.services/us-states/flags/new-jersey-large.png
New Mexico	Land of Enchantment	1912-01-06	Santa Fe	2085287	https://cdn.civil.services/us-states/flags/new-mexico-large.png
New York	Empire State	1788-07-26	Albany	19651127	https://cdn.civil.services/us-states/flags/new-york-large.png
North Carolina	Old North State # Tar Heel State	1789-11-21	Raleigh	9848060	https://cdn.civil.services/us-states/flags/north-carolina-large.png
North Dakota	Peace Garden State # Flickertail State # Roughrider State	1889-11-02	Bismarck	723393	https://cdn.civil.services/us-states/flags/north-dakota-large.png
Ohio	Buckeye State	1803-03-01	Columbus	11570808	https://cdn.civil.services/us-states/flags/ohio-large.png
Oklahoma	Sooner State	1907-11-16	Oklahoma City	3850568	https://cdn.civil.services/us-states/flags/oklahoma-large.png
Oregon	Beaver State	1859-02-14	Salem	3930065	https://cdn.civil.services/us-states/flags/oregon-large.png
Pennsylvania	Keystone State	1787-12-12	Harrisburg	12773801	https://cdn.civil.services/us-states/flags/pennsylvania-large.png
Rhode Island	The Ocean State	1790-05-29	Providence	1051511	https://cdn.civil.services/us-states/flags/rhode-island-large.png
South Carolina	Palmetto State	1788-05-23	Columbia	4774839	https://cdn.civil.services/us-states/flags/south-carolina-large.png
South Dakota	Mount Rushmore State	1889-11-02	Pierre	844877	https://cdn.civil.services/us-states/flags/south-dakota-large.png
Tennessee	Volunteer State	1796-06-01	Nashville	6495978	https://cdn.civil.services/us-states/flags/tennessee-large.png
Texas	Lone Star State	1845-12-29	Austin	26448193	https://cdn.civil.services/us-states/flags/texas-large.png
Utah	The Beehive State	1896-01-04	Salt Lake City	2900872	https://cdn.civil.services/us-states/flags/utah-large.png
Vermont	Green Mountain State	1791-03-04	Montpelier	626630	https://cdn.civil.services/us-states/flags/vermont-large.png
